贵州省,贵阳市,云岩区, , ,英烈路, ,10号, , , , ,5单元, ,附8号,0,
贵州省,贵阳市,云岩区, , ,东山巷, , , , , , , , ,38-5号,0,
贵州省,贵阳市,云岩区, , ,黄金路, ,79号, , , ,2栋,1单元, ,附11号,0,
贵州省,贵阳市,云岩区, , , , , ,中天花园御景湾,C区, ,17栋,2单元,4楼,1号,0,
贵州省,贵阳市,云岩区, , ,百花大道, ,64号, , , ,12栋,4单元,2楼,3号,0,
贵州省,贵阳市,云岩区, , , , , ,渔安新城, , ,E16栋, ,19楼,6号,0,
 , , , , , , , , , , , , , , ,0,
贵州省,贵阳市,云岩区, , , , , ,渔安新城, , ,B5栋, ,27楼,2号,0,
 , , , , , , , , , , , , , , ,0,
贵州省,贵阳市,云岩区, , ,乌金路, ,33号, , , , ,2单元, ,附4号,0,
贵州省,贵阳市,云岩区, , ,市北路, ,88号, , , ,6栋,2单元, ,12号,0,
贵州省,贵阳市,云岩区, , , , , ,东山小区, , ,11栋,5单元, ,附25号,0,
贵州省,贵阳市,云岩区, , ,金马街, ,22号, , , , , , ,附17号,0,
贵州省,贵阳市,云岩区, , ,东山巷, ,15号, , , , ,1单元, ,11号,0,
贵州省,贵阳市,云岩区, , ,东山路, ,169号, , , , ,3单元,1楼,附3号,0,
贵州省,贵阳市,云岩区, , ,旭东路, ,261号, , , , ,2单元,7楼,12号,0,
贵州省,贵阳市,云岩区, , , , , ,欣歆园小区, , ,1栋,1单元,5楼,1号,0,
贵州省,贵阳市,云岩区,金鸭办事处,金鸭居委会, , , ,马王市场商住楼, , ,A2栋,5单元,4层,2号,0,
贵州省,贵阳市,云岩区, , , , , ,世纪园小区世纪园小区, , ,E栋,3单元,6楼,3号,0,
贵州省,贵阳市,云岩区, , , , , ,中天世纪新城六组团, , ,H2栋,1单元,14楼,2号,0,
贵州省,贵阳市,云岩区, , ,贡院巷, ,52号, , , , ,2单元, ,9号,0,
贵州省,贵阳市,云岩区, , ,金沙街, ,24号, , , , , , , ,0,
贵州省,贵阳市,云岩区, , ,西山巷, ,14号, , , , ,1单元, ,附8号,0,
贵州省,贵阳市,云岩区, , ,交易路, ,57号, , , , ,1单元, ,附7号,0,
贵州省,贵阳市,云岩区, , ,水东路, , ,未来方舟斯美郡, , ,2栋,1单元,19楼,3号,0,
贵州省,贵阳市,云岩区, , , , , ,世纪园小区,兰馨苑, ,A栋,3单元,6楼,1号,1,
